Sequence(t),R(t),x(t),"P(x(t), R(t))"
1,0.1,"(0.0, 0.0)",-8750.0
1,0.1,"(13.1236, 0.0)",-7961.410592628899
1,0.1,"(13.1236, 0.0)",-7961.410592628899
1,0.1,"(13.1236, 0.0)",-7961.410592628899
2,1.0,"(13.1236, 0.0)",-7888.385362458367
2,1.0,"(13.5949, 0.0)",-7952.27031348962
2,1.0,"(13.5949, 0.0)",-7952.27031348962
2,1.0,"(13.5949, 0.0)",-7952.27031348962
3,10.0,"(13.5949, 0.0)",-7940.824927920859
3,10.0,"(13.6316, 0.0)",-7947.789201619992
3,10.0,"(13.6316, 0.0)",-7947.789201619992
3,10.0,"(13.6316, 0.0)",-7947.789201619992
4,100.0,"(13.6316, 0.0)",-7908.945487405142
4,100.0,"(13.6349, 0.0)",-7909.542263678705
4,100.0,"(13.6349, 0.0)",-7909.542263678705
4,100.0,"(13.6349, 0.0)",-7909.542263678705
5,1000.0,"(13.6349, 0.0)",-7527.670516695338
5,1000.0,"(13.6353, 0.0)",-7527.730374550762
5,1000.0,"(13.6353, 0.0)",-7527.730374550762
5,1000.0,"(13.6353, 0.0)",-7527.730374550762
6,10000.0,"(13.6353, 0.0)",-3709.6713492826716
6,10000.0,"(13.6353, 0.0)",-3709.6773370696146
6,10000.0,"(13.6353, 0.0025)",-3722.369838082487
6,10000.0,"(13.8398, 0.3367)",-5830.396422892108
6,10000.0,"(13.8321, 0.3367)",-6159.248090324694
6,10000.0,"(13.8806, 0.416)",-6359.075005651788
7,100000.0,"(13.8806, 0.416)",3483.795270425593
7,100000.0,"(13.8758, 0.416)",2188.0835508790606
7,100000.0,"(13.8758, 0.255)",292956.76200589584
7,100000.0,"(14.0247, 0.5218)",261464.38411461544
7,100000.0,"(13.9327, 0.5218)",-2042.6841193914374
7,100000.0,"(13.9326, 0.5222)",-2049.835344618281
7,100000.0,"(13.9951, 0.6343)",-4200.001290738539
7,100000.0,"(13.9936, 0.6393)",-5137.139040376414
8,1000000.0,"(13.9936, 0.6393)",13369.150437532131
8,1000000.0,"(13.9938, 0.6393)",13343.479048993162
8,1000000.0,"(13.9938, 0.64)",13273.342521474384
8,1000000.0,"(13.9942, 0.64)",13203.450619667736
